symbol,date,proba,close
sh688496,2026-09-10,0.9005776153906467,0.58
sh600825,2026-09-24,0.8518188584781681,7.77
sh601218,2026-09-24,0.7757768705015218,5.5
sh600802,2026-09-24,0.7682044222062321,6.62
sh600792,2026-09-24,0.7594795573342803,5.7
sz002614,2026-09-24,0.7449156719467134,8.33
sz301560,2026-09-24,0.7337754302397785,29.22
sz000790,2026-09-24,0.7322265578061515,4.68
sz000850,2026-09-24,0.7076097910166951,5.12
sz001234,2026-09-24,0.7025309056364163,35.4
sz300647,2026-09-24,0.6995037970243794,9.56
sz002285,2026-09-24,0.679253631703396,3.26
sz002731,2026-08-31,0.6761793883589169,0.77
sh600815,2026-09-24,0.6711235450894312,4.65
sz000753,2026-09-24,0.6695222263139471,5.35
sz002264,2026-09-24,0.6609268569939974,8.13
sz002622,2026-09-24,0.6546097798260229,2.72
sz000592,2026-09-24,0.6483983181522983,8.78
sz002238,2026-09-24,0.6437131645820081,8.43
sz301311,2026-09-24,0.6426757485652972,17.98
sz002909,2026-09-24,0.6416662476441576,8.29
sh600358,2026-09-24,0.6388868542460603,5.72
sz002836,2026-09-24,0.6372927177171549,12.27
sz000710,2026-09-24,0.6327066509620183,11.01
sz300300,2026-09-24,0.6318189759134516,10.81
sh688056,2026-09-24,0.6317830753398547,58.24
sz002413,2026-09-24,0.6302916938783357,8.97
sz000670,2026-09-24,0.6265880971985124,7.93
sh600843,2026-09-24,0.6263123824790418,8.37
sh600189,2026-09-24,0.6246755560822529,9.1
sz002321,2026-09-24,0.6184371930907478,2.27
sz000504,2026-09-24,0.6150775605763399,13.73
sh600207,2026-09-24,0.5956864054461204,5.16
sh601567,2026-09-24,0.5952766717450138,16.25
sz300192,2026-09-24,0.5924430733765689,25.31
sz002679,2026-09-24,0.5835214896895542,11.58
sh600606,2026-09-24,0.565855629874481,1.43
sz000905,2026-09-24,0.5638047754710567,9.81
sz000498,2026-09-24,0.5625785125130576,5.65
sh603042,2026-09-24,0.552750524294096,18.73
sh603122,2026-09-24,0.5515358836111331,14.93
sz000797,2026-09-24,0.5454965078841036,2.78
bj920706,2026-09-24,0.5393294203889457,18.01
sh603230,2026-09-24,0.5330331777528341,18.47
sh601811,2026-09-24,0.5295286104590031,20.35
sz002005,2026-09-24,0.5254664124765791,2.8
sz002320,2026-09-24,0.5136052278309476,6.76
sz300305,2026-09-24,0.5103021702639716,7.16
sz002531,2026-09-24,0.5100610923490227,7.44
sh600340,2026-09-24,0.5078649799983859,1.17
sz300569,2026-09-24,0.5043641267301068,5.28
sz002164,2026-09-24,0.5018128700108733,13.06
sz002638,2026-09-24,0.4998503034094921,4.93
sz000056,2026-09-24,0.49639651256510675,2.76
sz002205,2026-09-24,0.49575125593636454,12.78
sz000785,2026-09-24,0.49288220436003854,2.3
sh603375,2026-09-24,0.49245413847438213,49.25
sz000809,2026-09-24,0.4909123321975405,3.46
sh688066,2026-09-24,0.49018384667396775,8.96
sh688682,2026-09-24,0.4861111110029696,37.94
sz002640,2026-09-24,0.48358202331133604,3.6
sh603970,2026-09-24,0.47842583740047484,12.17
sz002029,2026-09-24,0.4778970296003367,9.26
sz002119,2026-09-24,0.4770941491827371,29.61
sz301339,2026-09-24,0.47662467535402614,13.45
sh600715,2026-09-24,0.476105665965646,1.69
sh688121,2026-09-24,0.47469670812692594,1.16
sz300904,2026-09-24,0.4742130929061957,47.0
sz002514,2026-09-24,0.4676493753491431,2.49
sh603248,2026-09-24,0.465234283663751,22.54
sz300352,2026-09-24,0.46266737614890885,3.08
sh605366,2026-09-24,0.4600556992186025,9.22
sh600758,2026-09-24,0.4595360780074808,3.64
sz002579,2026-09-24,0.4554445902395202,19.22
sz300599,2026-09-24,0.453134494462577,13.69
sh600022,2026-09-24,0.4431316091862006,1.28
bj920427,2026-09-24,0.4414267211196621,10.3
sz002181,2026-09-24,0.4413657099095148,9.58
sz301189,2026-09-24,0.4362817346720512,75.79
sz002849,2026-09-24,0.43215380736489406,24.75
sh603278,2026-09-24,0.43108433776152305,9.8
sh603999,2026-09-24,0.43104684957558687,6.53
sz000678,2026-09-24,0.42859703157518825,9.68
sz000897,2026-09-24,0.4279474767438001,1.88
sh605018,2026-09-24,0.42561905895098756,12.74
sz002789,2026-09-24,0.4232670682042312,14.05
sh600033,2026-09-24,0.4200671797724611,3.73
sh603105,2026-09-24,0.4197326271133376,8.68
sz300129,2026-09-24,0.41882800160036204,7.49
sh603065,2026-09-24,0.41876969593400326,16.27
sz002766,2026-09-24,0.4156685418977795,4.02
sh603949,2026-09-24,0.4155288991498253,16.9
sh601015,2026-09-24,0.4126820791789077,3.55
sh603396,2026-09-24,0.4113059025502733,35.64
bj920146,2026-09-24,0.41072231425430006,5.83
sz301136,2026-09-24,0.41037562610011824,13.3
sh603500,2026-09-24,0.40927375937969823,10.42
bj920445,2026-09-24,0.40924758761010566,8.03
sh600156,2026-09-24,0.40792054142766304,9.17
bj920748,2026-09-24,0.406368911801933,36.5
sh688315,2026-09-24,0.40238707487114594,20.4
sz002819,2026-09-24,0.4016014849881485,26.66
sh600831,2026-09-24,0.4012286238174116,3.51
sz000993,2026-09-24,0.400877225299316,19.32
sh605577,2026-09-24,0.3993877064819668,16.52
sz002021,2026-09-24,0.3959030536041281,2.57
bj920200,2026-09-24,0.395877368317615,33.1
sh600734,2026-09-24,0.39519077482646203,1.93
sh600630,2026-09-24,0.3942937052703887,8.62
sh600408,2026-09-24,0.3936578586294592,3.03
sz301601,2026-09-24,0.39273113737476895,17.58
sh600371,2026-09-24,0.3919397503705087,15.85
sh601929,2026-09-24,0.39001248826359164,2.37
sz002547,2026-09-24,0.38764322892435504,2.45
sz002395,2026-09-24,0.38497567086788453,14.05
sh600641,2026-09-24,0.3846329527681423,51.56
sh600795,2026-09-24,0.38439961778165793,5.24
sh601005,2026-09-24,0.381438086173654,1.2
sz002300,2026-09-24,0.378632073592885,8.19
sz002860,2026-09-21,0.37535702609275534,18.39
sz300301,2026-09-24,0.37187722839937043,3.6
sz003006,2026-09-24,0.3712664104293565,22.64
sz002068,2026-09-24,0.3690448787061597,9.84
sz301390,2026-09-24,0.3661245737283089,44.21
sh600293,2026-09-24,0.3653200491273151,3.78
sh601566,2026-09-24,0.3649632279689389,9.67
sz002084,2026-09-24,0.3645221759515025,6.44
sz000656,2026-09-24,0.36302066081884754,1.23
sh600192,2026-09-24,0.3600994188729787,7.2
sh600537,2026-09-24,0.35999324032943925,2.22
sh603601,2026-09-24,0.3573154233334878,10.59
sh600506,2026-09-24,0.35663904531159135,18.18
sz002584,2026-09-24,0.350595273451423,8.79
sh600675,2026-09-24,0.3505713278003921,2.47
sz002535,2026-09-24,0.3493661886298785,2.42
sh603400,2026-09-14,0.3486428101058941,54.67
sh600807,2026-09-24,0.34817303877123285,2.64
sh600121,2026-09-24,0.34709840579485507,4.9
sz000812,2026-09-24,0.3466641456203782,3.73
sh603116,2026-09-24,0.3447161155897169,7.16
sh605069,2026-09-24,0.3435573947816822,12.1
sz301139,2026-08-28,0.3425786792158041,3.31
sz000665,2026-09-24,0.3425081784243721,4.08
sh603767,2026-09-24,0.34062100707550114,14.74
sz002310,2026-09-24,0.339882660444959,2.26
sz002172,2026-09-24,0.33839468043874854,5.42
sh600448,2026-09-24,0.3354197440232437,3.27
